Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286478,-0.648672,0.18185443,-0.73902214,G1-G0 transition,U2OS
SRR11286479,0.63966733,0.62639004,-0.44549,S,U2OS
SRR11286480,0.7845488,-0.3576296,0.5065413,G2M,U2OS
SRR11286482,-0.5749108,-0.28067908,-0.76856804,G1-G0 transition,U2OS
SRR11286483,-0.8402554,0.5172017,-0.16270633,G1-G0 transition,U2OS
SRR11286484,-0.07559257,-0.47524533,0.87660015,G2M,U2OS
SRR11286485,-0.17482883,-0.60473,-0.77700484,G1,U2OS
SRR11286486,0.98436004,-0.07360983,0.16005285,G2M,U2OS
SRR11286487,0.7337697,-0.055757985,-0.67710644,G1,U2OS
SRR11286489,-0.3113577,-0.41054067,-0.85703707,G1,U2OS
SRR11286490,0.8058388,0.51878506,0.28545752,S,U2OS
SRR11286491,0.45937672,-0.23148996,0.8575461,G2M,U2OS
SRR11286492,-0.74778455,0.4863765,0.45194712,G1-G0 transition,U2OS
SRR11286493,0.42035094,-0.45439076,0.7853878,G2M,U2OS
SRR11286494,0.50988233,0.051868908,-0.858679,G1,U2OS
SRR11286495,0.37211308,-0.91670656,-0.14553656,G1,U2OS
SRR11286496,-0.0020435064,-0.72523737,0.688496,G2M,U2OS
SRR11286497,0.7876357,0.14656813,0.59845454,S,U2OS
SRR11286498,0.8199635,0.56225306,0.1073829,S,U2OS
SRR11286499,0.9682843,0.17144017,0.18175156,G2M,U2OS
SRR11286500,0.6293127,0.042242344,0.7760032,G2M,U2OS
SRR11286502,0.7103114,-0.23255838,0.66436,G2M,U2OS
SRR11286504,0.8958303,0.1806325,-0.4060295,S,U2OS
SRR11286505,0.815028,0.53325874,0.22663742,S,U2OS
SRR11286506,0.2753037,-0.9613553,-0.0019358171,G1,U2OS
SRR11286507,-0.4494742,-0.69778687,-0.55773324,G1,U2OS
SRR11286508,0.7759445,0.6295821,0.039198812,S,U2OS
SRR11286509,0.8571915,-0.03976815,0.51346004,G2M,U2OS
SRR11286510,0.7959399,0.2877293,0.532627,S,U2OS
SRR11286511,0.7533936,-0.22386894,-0.6182886,G1,U2OS
SRR11286512,-0.31011635,-0.6624273,0.6819223,S,U2OS
SRR11286513,0.49190748,-0.19552247,0.8484091,G2M,U2OS
SRR11286514,-0.16239025,-0.91351086,0.37299752,S,U2OS
SRR11286515,0.08664297,-0.76204175,0.641705,G2M,U2OS
SRR11286516,-0.43268627,-0.58386284,-0.68694013,G1,U2OS
SRR11286517,-0.025712468,-0.9735245,-0.22713132,G1,U2OS
SRR11286518,0.23345096,-0.27260184,0.93337494,G2M,U2OS
SRR11286519,-0.15188885,-0.61618716,0.7728151,G2M,U2OS
SRR11286520,0.21317302,-0.9698533,0.118075475,G1,U2OS
SRR11286521,0.6952768,-0.51954067,0.49665648,G2M,U2OS
SRR11286522,0.8089745,0.24267162,0.5354163,S,U2OS
SRR11286523,0.41108888,-0.8759144,-0.25254664,G1,U2OS
SRR11286524,0.21675543,-0.25090802,0.9434311,G2M,U2OS
SRR11286525,0.79793644,-0.09353428,0.59544003,S,U2OS
SRR11286526,0.9511234,0.13490266,0.27778694,S,U2OS
SRR11286527,0.38614216,-0.13597015,0.912363,G2M,U2OS
SRR11286528,-0.7350978,0.46129927,-0.4968241,G1-G0 transition,U2OS
SRR11286529,0.8172612,0.23583432,-0.5258005,G1,U2OS
SRR11286530,0.29878846,0.12007493,-0.94673514,G1,U2OS
SRR11286531,0.75463104,0.3495614,0.5552827,S,U2OS
SRR11286532,0.66792756,-0.4578113,-0.586755,G1,U2OS
SRR11286533,-0.04545469,-0.61028576,0.7908761,G2M,U2OS
SRR11286534,-0.13136378,-0.615567,0.777059,G2M,U2OS
SRR11286535,0.9881358,0.15355183,0.0030964252,S,U2OS
SRR11286536,0.30755335,0.2388847,-0.92105657,G1,U2OS
SRR11286537,0.21130164,-0.5721366,0.7924717,G2M,U2OS
SRR11286538,0.7387757,-0.231971,0.63277173,G2M,U2OS
SRR11286539,0.13942996,-0.28389755,0.94866294,G2M,U2OS
SRR11286540,0.437946,-0.40053737,0.8048435,G2M,U2OS
SRR11286541,-0.2997515,0.39281178,-0.86939514,G1-G0 transition,U2OS
