,Feature,Class,AbsoluteSHAPValue
1411,DONSON,G1,0.0005357945431843474
1412,DONSON,G1-G0 transition,0.0007626501361620642
1413,DONSON,G2M,0.0002505660023607794
1414,DONSON,S,0.0003185381729421992
1415,DQX1,G0,0.00019119200001268145
1416,DQX1,G1,0.0007531156988323267
1417,DQX1,G1-G0 transition,0.0005856732653470102
1418,DQX1,G2M,0.0002904181543765795
1419,DQX1,S,0.0002726062575389298
1420,DRGX,G0,0.0004125826490128433
1421,DRGX,G1,0.0006609103270253661
1422,DRGX,G1-G0 transition,0.0005795255241673358
1423,DRGX,G2M,0.00018382374332448481
1424,DRGX,S,0.0003207306600919813
1425,DSCC1,G0,0.00028899693788394403
1426,DSCC1,G1,0.0005252574683729676
1427,DSCC1,G1-G0 transition,0.0006595156183385563
1428,DSCC1,G2M,0.0003660639437111567
1429,DSCC1,S,0.0004284226062530321
1430,DSN1,G0,0.0010271728721845319
1431,DSN1,G1,0.0008422305206092288
1432,DSN1,G1-G0 transition,0.0009105430473591671
1433,DSN1,G2M,0.00019818575469114383
1434,DSN1,S,0.0007232658711265975
1435,DTL,G0,0.0012087750195785237
1436,DTL,G1,0.0020000543039623143
1437,DTL,G1-G0 transition,0.0010821899732392677
1438,DTL,G2M,0.0009659652981502335
1439,DTL,S,0.0008437180594524339
1440,DUSP2,G0,0.00038220956522967014
1441,DUSP2,G1,0.000563599279629715
1442,DUSP2,G1-G0 transition,0.0007012965170043392
1443,DUSP2,G2M,0.0002967047061869233
1444,DUSP2,S,0.0002960980478403423
1445,DYNLT2,G0,0.00032153854333283967
1446,DYNLT2,G1,0.0006730433326829831
1447,DYNLT2,G1-G0 transition,0.0005906617316118642
1448,DYNLT2,G2M,0.00039684880869050914
1449,DYNLT2,S,0.00026617308715060593
1450,DYSF,G0,0.00029118044501215266
1451,DYSF,G1,0.0005104247048413183
1452,DYSF,G1-G0 transition,0.0005940345636632554
1453,DYSF,G2M,0.0001958233816143244
1454,DYSF,S,0.0003075568656736709
1455,E2F1,G0,0.0030420235502582253
1456,E2F1,G1,0.0013012396019281554
1457,E2F1,G1-G0 transition,0.001962877894292085
1458,E2F1,G2M,0.0004556081759639252
1459,E2F1,S,0.001260146289001096
1460,E2F2,G0,0.00025031673658969765
1461,E2F2,G1,0.000670331896206032
1462,E2F2,G1-G0 transition,0.0006298080516974448
1463,E2F2,G2M,0.00024905987278801394
1464,E2F2,S,0.0004223740098276706
1465,E2F7,G0,0.0005922801855276057
1466,E2F7,G1,0.0007511821950823734
1467,E2F7,G1-G0 transition,0.000734687828682695
1468,E2F7,G2M,0.00022941631021439592
1469,E2F7,S,0.0008517787356024528
1470,E2F8,G0,0.0006399386408886813
1471,E2F8,G1,0.0010580087561247661
1472,E2F8,G1-G0 transition,0.0006129869901680023
1473,E2F8,G2M,0.0004254903163207196
1474,E2F8,S,0.0009731342389717308
1475,EAF2,G0,0.00034514449691468114
1476,EAF2,G1,0.0006260016559571707
1477,EAF2,G1-G0 transition,0.0005223005198820111
1478,EAF2,G2M,0.00017836723968940455
1479,EAF2,S,0.0003554904097452974
1480,EBF4,G0,0.00024926142282569153
1481,EBF4,G1,0.0005761154992886613
1482,EBF4,G1-G0 transition,0.0005805241810764545
1483,EBF4,G2M,0.0002196940396170638
1484,EBF4,S,0.00032416948362608267
1485,ECT2,G0,0.0006373539797806971
1486,ECT2,G1,0.0011720149861310111
1487,ECT2,G1-G0 transition,0.0011940900970362804
1488,ECT2,G2M,0.0005511043401237337
1489,ECT2,S,0.0004811313170283669
1490,EFCAB5,G0,0.0002825476451526032
1491,EFCAB5,G1,0.0005633910659725476
1492,EFCAB5,G1-G0 transition,0.0006763243388841363
1493,EFCAB5,G2M,0.00020289975508490415
1494,EFCAB5,S,0.0003577313844772165
1495,EFCAB9,G0,0.00030044396957677917
1496,EFCAB9,G1,0.0006025570630220622
1497,EFCAB9,G1-G0 transition,0.000541200371340791
1498,EFCAB9,G2M,0.00019058989226605256
1499,EFCAB9,S,0.0003409139382524823
1500,EFHB,G0,0.00030685830993275114
1501,EFHB,G1,0.0006493801283667664
1502,EFHB,G1-G0 transition,0.0006640377933556634
1503,EFHB,G2M,0.00021002925937663492
1504,EFHB,S,0.00027273429375321013
1505,EFNA1,G0,0.00048191794489686225
1506,EFNA1,G1,0.0008019840118495783
1507,EFNA1,G1-G0 transition,0.0009018807740682726
1508,EFNA1,G2M,0.0003169239123433433
1509,EFNA1,S,0.000510563233852004
1510,EFNB2,G0,0.00045844582148533693
1511,EFNB2,G1,0.000734463487066972
1512,EFNB2,G1-G0 transition,0.0007090051003655115
1513,EFNB2,G2M,0.0003431566611748824
1514,EFNB2,S,0.0003973273358156478
1515,EGR4,G0,0.0002446829146698035
1516,EGR4,G1,0.0007629345217939845
1517,EGR4,G1-G0 transition,0.0005628681290043407
1518,EGR4,G2M,0.00021815621536775326
1519,EGR4,S,0.0002910927410487826
1520,ELAPOR2,G0,0.00023544949601590173
1521,ELAPOR2,G1,0.000674276030296112
1522,ELAPOR2,G1-G0 transition,0.0005484859539142936
1523,ELAPOR2,G2M,0.00022960022699893695
1524,ELAPOR2,S,0.0003022230067222511
1525,ELAVL3,G0,0.0003063503571580789
1526,ELAVL3,G1,0.0006366425128711055
1527,ELAVL3,G1-G0 transition,0.0006053184672985116
1528,ELAVL3,G2M,0.0002693608439139233
1529,ELAVL3,S,0.00022711680862396976
1530,ELL3,G0,0.0003370709853035009
1531,ELL3,G1,0.0005751836683073218
1532,ELL3,G1-G0 transition,0.0005300693219195592
1533,ELL3,G2M,0.00021550193485111402
1534,ELL3,S,0.000257637013055795
1535,ENHO,G0,0.0014854096795306002
1536,ENHO,G1,0.0009062503662180642
1537,ENHO,G1-G0 transition,0.0010077168446748427
1538,ENHO,G2M,0.0002742089063022652
1539,ENHO,S,0.0005950055577237845
1540,EPHA3,G0,0.00024598996319877227
1541,EPHA3,G1,0.0006929991664495404
1542,EPHA3,G1-G0 transition,0.0006279521915832655
1543,EPHA3,G2M,0.0003037915109484821
1544,EPHA3,S,0.0003000504058083188
1545,EPHA5,G0,0.00040549493037552516
1546,EPHA5,G1,0.0006519872120313578
1547,EPHA5,G1-G0 transition,0.0007196990780858239
1548,EPHA5,G2M,0.0002860385024717298
1549,EPHA5,S,0.0002782609519178629
1550,EPOP,G0,0.0002710880694496882
1551,EPOP,G1,0.000546045635324187
1552,EPOP,G1-G0 transition,0.0005719030275705533
1553,EPOP,G2M,0.00016026884669385333
1554,EPOP,S,0.00029065014256883813
1555,EPPK1,G0,0.0003481115907625145
1556,EPPK1,G1,0.0006002734772175115
1557,EPPK1,G1-G0 transition,0.0006290191691971093
1558,EPPK1,G2M,0.000206000933055698
1559,EPPK1,S,0.00024075290472465538
1560,EPS8L1,G0,0.0003439641434557678
1561,EPS8L1,G1,0.0004767294523776858
1562,EPS8L1,G1-G0 transition,0.0007600722669098209
1563,EPS8L1,G2M,0.00012227317577389807
1564,EPS8L1,S,0.00019949358007462464
1565,ERCC6L,G0,0.0004745737320097036
1566,ERCC6L,G1,0.0009839252751044694
1567,ERCC6L,G1-G0 transition,0.0012649444805653163
1568,ERCC6L,G2M,0.0003936528660790075
1569,ERCC6L,S,0.0005323476438263843
1570,ERICH2,G0,0.00038042965255109096
1571,ERICH2,G1,0.0006636124211898439
1572,ERICH2,G1-G0 transition,0.0006636191951417774
1573,ERICH2,G2M,0.00021822759435697483
1574,ERICH2,S,0.00027864052541655545
1575,ERICH5,G0,0.0003727654681166006
1576,ERICH5,G1,0.0007833099674014082
1577,ERICH5,G1-G0 transition,0.0009256413123845466
1578,ERICH5,G2M,0.00017761545912201772
1579,ERICH5,S,0.00029630032122023595
1580,ERICH6,G0,0.000223664927767786
1581,ERICH6,G1,0.0005157971620672298
1582,ERICH6,G1-G0 transition,0.0005967078148584662
1583,ERICH6,G2M,0.00020047966883294204
1584,ERICH6,S,0.0002647411988995662
1585,ESCO2,G0,0.000471657735026202
1586,ESCO2,G1,0.0015092203357277862
1587,ESCO2,G1-G0 transition,0.002105195882533014
1588,ESCO2,G2M,0.0009886420184415377
1589,ESCO2,S,0.0034209963910858507
1590,ESPL1,G0,0.00035066736028315567
1591,ESPL1,G1,0.0007942860355751984
1592,ESPL1,G1-G0 transition,0.0005840162329609512
1593,ESPL1,G2M,0.0005977077179880292
1594,ESPL1,S,0.0005922148789878354
1595,ESR1,G0,0.00024760899498207163
1596,ESR1,G1,0.0004655815888441498
1597,ESR1,G1-G0 transition,0.0004663511781677434
1598,ESR1,G2M,0.00019509398611250364
1599,ESR1,S,0.00024208941870000942
1600,EVC2,G0,0.0002505898434190871
1601,EVC2,G1,0.0006334320368766303
1602,EVC2,G1-G0 transition,0.0006037047689731793
1603,EVC2,G2M,0.0001506449653846215
1604,EVC2,S,0.0002520068058472047
1605,EXO1,G0,0.0014505560840407112
1606,EXO1,G1,0.0014192645398128343
1607,EXO1,G1-G0 transition,0.001730262072528605
1608,EXO1,G2M,0.0008885623204946188
1609,EXO1,S,0.004147954568321242
1610,F10,G0,0.0007554869376582196
1611,F10,G1,0.0006509056278850593
1612,F10,G1-G0 transition,0.0009049966765650389
1613,F10,G2M,0.0001618511175612683
1614,F10,S,0.00034540145031278344
1615,F2,G0,0.0002599643337667793
1616,F2,G1,0.0007695344694630932
1617,F2,G1-G0 transition,0.0005627028946335342
1618,F2,G2M,0.0002033356008891284
1619,F2,S,0.000337697640567778
1620,F2RL3,G0,0.0001964072774369424
1621,F2RL3,G1,0.0005887354528578472
1622,F2RL3,G1-G0 transition,0.0004140675069646385
1623,F2RL3,G2M,0.00022499149942771296
1624,F2RL3,S,0.000265624712546517
1625,FAM110D,G0,0.0002363776356288439
1626,FAM110D,G1,0.0005720652473801121
1627,FAM110D,G1-G0 transition,0.0007016176343428745
1628,FAM110D,G2M,0.00018466767888738894
1629,FAM110D,S,0.0002394392934992291
1630,FAM111A,G0,0.00125997521530377
1631,FAM111A,G1,0.0012146765349757042
1632,FAM111A,G1-G0 transition,0.0013332184966452414
1633,FAM111A,G2M,0.0006896196342883517
1634,FAM111A,S,0.0038018211489975772
1635,FAM13C,G0,0.00028642971048069765
1636,FAM13C,G1,0.0006857198629364643
1637,FAM13C,G1-G0 transition,0.0006831375035923362
1638,FAM13C,G2M,0.0002634608222899869
1639,FAM13C,S,0.0003580222688860385
1640,FAM229A,G0,0.0003236965409980523
1641,FAM229A,G1,0.0005081216204335942
1642,FAM229A,G1-G0 transition,0.0005100717430815548
1643,FAM229A,G2M,0.00025392642556596525
1644,FAM229A,S,0.0002971271092070319
1645,FAM234B,G0,0.00027131837518077907
1646,FAM234B,G1,0.0005326252345196965
1647,FAM234B,G1-G0 transition,0.0006040014345921984
1648,FAM234B,G2M,0.00015355115653289568
1649,FAM234B,S,0.0002678070322365917
1650,FAM43A,G0,0.0015756033275387401
1651,FAM43A,G1,0.0011849348776671754
1652,FAM43A,G1-G0 transition,0.000989799229740671
1653,FAM43A,G2M,0.0002691499033481009
1654,FAM43A,S,0.0005445264716994209
1655,FAM78A,G0,0.0002638695301700903
1656,FAM78A,G1,0.0006055839534249499
1657,FAM78A,G1-G0 transition,0.0005671739839425275
1658,FAM78A,G2M,0.0002693000433052906
1659,FAM78A,S,0.0003463316268907429
1660,FAM83D,G0,0.0006246385753796678
1661,FAM83D,G1,0.004276499266885225
1662,FAM83D,G1-G0 transition,0.0017123066488357675
1663,FAM83D,G2M,0.005602527344382625
1664,FAM83D,S,0.000514399039752567
1665,FAT2,G0,0.00026071202466405386
1666,FAT2,G1,0.0006487995838830625
1667,FAT2,G1-G0 transition,0.0005314394926139632
1668,FAT2,G2M,0.00023900238201610615
1669,FAT2,S,0.00028150229004157376
1670,FAT3,G0,0.00026249656281998715
1671,FAT3,G1,0.0006224352471678016
1672,FAT3,G1-G0 transition,0.0006065844540484228
1673,FAT3,G2M,0.0002308178934142309
1674,FAT3,S,0.00026909143721207406
1675,FBLN7,G0,0.0002969313891789211
1676,FBLN7,G1,0.0005698118508312335
1677,FBLN7,G1-G0 transition,0.0005317037877880789
1678,FBLN7,G2M,0.00018813714320454946
1679,FBLN7,S,0.0002603662988732794
1680,FBXL14,G0,0.00025725339636649793
1681,FBXL14,G1,0.0007369648664716418
1682,FBXL14,G1-G0 transition,0.0005824649901535847
1683,FBXL14,G2M,0.00020898874693072098
1684,FBXL14,S,0.0003119912971693414
1685,FBXL22,G0,0.00034141684609942705
1686,FBXL22,G1,0.0006887563370432954
1687,FBXL22,G1-G0 transition,0.00044260139160637183
1688,FBXL22,G2M,0.0002169134125579095
1689,FBXL22,S,0.0003483175250495535
1690,FBXL8,G0,0.0002459207042791262
1691,FBXL8,G1,0.0006424597188489507
1692,FBXL8,G1-G0 transition,0.0005087898693497832
1693,FBXL8,G2M,0.00018919710689845184
1694,FBXL8,S,0.0002915586658421009
1695,FBXO15,G0,0.00014008374041612386
1696,FBXO15,G1,0.0005669207637318853
1697,FBXO15,G1-G0 transition,0.0006539328435345419
1698,FBXO15,G2M,0.00019176475625638244
1699,FBXO15,S,0.0002563479256578586
1700,FBXO24,G0,0.00029221062408580945
1701,FBXO24,G1,0.0007391405585783041
1702,FBXO24,G1-G0 transition,0.0005734297997595876
1703,FBXO24,G2M,0.00020942409572592558
1704,FBXO24,S,0.00027715863497770275
1705,FBXO27,G0,0.0003493280449512972
1706,FBXO27,G1,0.0006160853008725524
1707,FBXO27,G1-G0 transition,0.0006515381519957166
1708,FBXO27,G2M,0.00020128004196079836
1709,FBXO27,S,0.0002772677351146983
1710,FBXO43,G0,0.0003468248642179789
1711,FBXO43,G1,0.0006310695130901427
1712,FBXO43,G1-G0 transition,0.0007129775802939081
1713,FBXO43,G2M,0.00018632664996090745
1714,FBXO43,S,0.000264732263873628
1715,FBXO48,G0,0.0002764570499742466
1716,FBXO48,G1,0.0006668961446385085
1717,FBXO48,G1-G0 transition,0.0005554069831975082
1718,FBXO48,G2M,0.00027003390842707123
1719,FBXO48,S,0.00027797676561269714
1720,FBXO5,G0,0.001705275377226375
1721,FBXO5,G1,0.002883760182048012
1722,FBXO5,G1-G0 transition,0.0027006204543490037
1723,FBXO5,G2M,0.002432161618661794
1724,FBXO5,S,0.005379136798856245
1725,FCGRT,G0,0.0034267769657502175
1726,FCGRT,G1,0.0020222571109283945
1727,FCGRT,G1-G0 transition,0.0013766609999455123
1728,FCGRT,G2M,0.00041025264294146954
1729,FCGRT,S,0.000823085214430283
1730,FEN1,G0,0.001316082877041194
1731,FEN1,G1,0.0019246367156339908
1732,FEN1,G1-G0 transition,0.0013179016850195663
1733,FEN1,G2M,0.00246237997224758
1734,FEN1,S,0.0035986603972051065
1735,FGD4,G0,0.0003434017607512404
1736,FGD4,G1,0.0006628831306797747
1737,FGD4,G1-G0 transition,0.0006029153837329943
1738,FGD4,G2M,0.0002122479886620454
1739,FGD4,S,0.0002572959465794383
1740,FGF11,G0,0.00017421937711081166
1741,FGF11,G1,0.0006734296329990977
1742,FGF11,G1-G0 transition,0.0005955203771325308
1743,FGF11,G2M,0.00024158656780002357
1744,FGF11,S,0.0003593418587738099
1745,FGF18,G0,0.00023924588203188673
1746,FGF18,G1,0.0006076412360907097
1747,FGF18,G1-G0 transition,0.0005177776839385508
1748,FGF18,G2M,0.00018376757909275565
1749,FGF18,S,0.0002835814672750766
1750,FGF22,G0,0.0002345168884156035
1751,FGF22,G1,0.0006571128325270101
1752,FGF22,G1-G0 transition,0.0005411918467257166
1753,FGF22,G2M,0.00015592235328364782
1754,FGF22,S,0.0003288523704293423
1755,FGFBP1,G0,0.00020433986149604263
1756,FGFBP1,G1,0.000527120848159352
1757,FGFBP1,G1-G0 transition,0.0006028781000183324
1758,FGFBP1,G2M,0.00017631662689093747
1759,FGFBP1,S,0.00034547669244089406
1760,FGFBP3,G0,0.00022536493428154772
1761,FGFBP3,G1,0.0006440805880746593
1762,FGFBP3,G1-G0 transition,0.0005642600443722249
1763,FGFBP3,G2M,0.00026494206370640576
1764,FGFBP3,S,0.00032087422853137445
1765,FGFR3,G0,0.0008979007301741959
1766,FGFR3,G1,0.0006268127527776433
1767,FGFR3,G1-G0 transition,0.0009621595954544401
1768,FGFR3,G2M,0.00016709053619934735
1769,FGFR3,S,0.0003401259935005036
1770,FGL2,G0,0.00035492691418677965
1771,FGL2,G1,0.0006587255656095301
1772,FGL2,G1-G0 transition,0.000672534875606615
1773,FGL2,G2M,0.00026048874041838266
1774,FGL2,S,0.00027977290224876573
1775,FHDC1,G0,0.00029703880421190536
1776,FHDC1,G1,0.0007317317612621611
1777,FHDC1,G1-G0 transition,0.0006773299494641382
1778,FHDC1,G2M,0.00023088068670851824
1779,FHDC1,S,0.0002391195504510521
1780,FIGNL2,G0,0.00039297854241594294
1781,FIGNL2,G1,0.0006744773446097665
1782,FIGNL2,G1-G0 transition,0.0005472700920480275
1783,FIGNL2,G2M,0.00026700128345494295
1784,FIGNL2,S,0.0003847314740351013
1785,FITM1,G0,0.00027461716610617114
1786,FITM1,G1,0.00046035886875276885
1787,FITM1,G1-G0 transition,0.0005348790098799165
1788,FITM1,G2M,0.0002410989026282792
1789,FITM1,S,0.0002285259933087615
1790,FLRT1,G0,0.00088338476321885
1791,FLRT1,G1,0.0009576020526271312
1792,FLRT1,G1-G0 transition,0.0007280916081340374
1793,FLRT1,G2M,0.00030322709294737754
1794,FLRT1,S,0.0004880222386063461
1795,FMNL1,G0,0.00043198918952191224
1796,FMNL1,G1,0.0007078394201426685
1797,FMNL1,G1-G0 transition,0.000642087177725717
1798,FMNL1,G2M,0.00018818814401875498
1799,FMNL1,S,0.0003090956169995131
1800,FMO5,G0,0.00024359253806832963
1801,FMO5,G1,0.0005895153517650883
1802,FMO5,G1-G0 transition,0.000594664034808095
1803,FMO5,G2M,0.00017511484959246954
1804,FMO5,S,0.0004024842999587199
1805,FMOD,G0,0.00029475513831501944
1806,FMOD,G1,0.0006061923624505842
1807,FMOD,G1-G0 transition,0.0005189937763943785
1808,FMOD,G2M,0.0002057009885610953
1809,FMOD,S,0.00025581864486857753
1810,FNDC1,G0,0.0003241014682575581
1811,FNDC1,G1,0.0007079496147622521
1812,FNDC1,G1-G0 transition,0.0005097680688151871
1813,FNDC1,G2M,0.00023165091594808346
1814,FNDC1,S,0.0002689589225875002
1815,FNDC5,G0,0.00021926958907754525
1816,FNDC5,G1,0.00048010225035600615
1817,FNDC5,G1-G0 transition,0.0005071131177032699
1818,FNDC5,G2M,0.0001722753557393696
1819,FNDC5,S,0.0002314634105118846
1820,FOSB,G0,0.0006410395140045528
1821,FOSB,G1,0.0007291294887596796
1822,FOSB,G1-G0 transition,0.0007382184852937499
1823,FOSB,G2M,0.00023573733084560902
1824,FOSB,S,0.00032538266332035837
1825,FRMPD1,G0,0.00023140719000919538
1826,FRMPD1,G1,0.0007038618667114015
1827,FRMPD1,G1-G0 transition,0.0005789982795215593
1828,FRMPD1,G2M,0.0001706417353520051
1829,FRMPD1,S,0.00024549880675078843
1830,FSCN2,G0,0.00023912299153084192
1831,FSCN2,G1,0.0006009965440528669
1832,FSCN2,G1-G0 transition,0.000509003983681443
1833,FSCN2,G2M,0.00024929444052965014
1834,FSCN2,S,0.00024019611759097206
1835,FSCN3,G0,0.0003232500766543962
1836,FSCN3,G1,0.0006645891201355473
1837,FSCN3,G1-G0 transition,0.0006732166905945461
1838,FSCN3,G2M,0.0002564466976640515
1839,FSCN3,S,0.00034469426883623744
1840,FSD2,G0,0.0002600346392300731
1841,FSD2,G1,0.0005374959483687184
1842,FSD2,G1-G0 transition,0.0005910034846779655
1843,FSD2,G2M,0.00019256662935948364
1844,FSD2,S,0.00031143857855175965
1845,FSTL4,G0,0.00026586760997750517
1846,FSTL4,G1,0.00047853487630830047
1847,FSTL4,G1-G0 transition,0.0005345709944320534
1848,FSTL4,G2M,0.0001550960563522802
1849,FSTL4,S,0.00019897979066795473
1850,FXYD7,G0,0.0002048831825252333
1851,FXYD7,G1,0.0005348559939091916
1852,FXYD7,G1-G0 transition,0.0004759120135692464
1853,FXYD7,G2M,0.00021080925011323043
1854,FXYD7,S,0.0002041402822663014
1855,FYB1,G0,0.0001733013872558551
1856,FYB1,G1,0.0005250983682565421
1857,FYB1,G1-G0 transition,0.0005820421141701922
1858,FYB1,G2M,0.00013709958089189582
1859,FYB1,S,0.00019695210878928527
1860,FYB2,G0,0.00017215233813314417
1861,FYB2,G1,0.0006369502723612751
1862,FYB2,G1-G0 transition,0.0004784241208909258
1863,FYB2,G2M,0.00018380882152184278
1864,FYB2,S,0.0003533718333165352
1865,FZD8,G0,0.00019694237415815896
1866,FZD8,G1,0.0006840538355155951
1867,FZD8,G1-G0 transition,0.0005651082724426016
1868,FZD8,G2M,0.00020700359166770665
1869,FZD8,S,0.0002933774687526784
1870,FZR1,G0,0.0003432994485301238
1871,FZR1,G1,0.000624483147624017
1872,FZR1,G1-G0 transition,0.000631713645489698
1873,FZR1,G2M,0.0002469126701230982
1874,FZR1,S,0.0003710646710434497
1875,G2E3,G0,0.00021919309885335013
1876,G2E3,G1,0.0005462945856251389
1877,G2E3,G1-G0 transition,0.0006674123142146534
1878,G2E3,G2M,0.0002203773775794185
1879,G2E3,S,0.00042054570857799416
1880,GABRB1,G0,0.0004958374125419956
1881,GABRB1,G1,0.0007699752566607586
1882,GABRB1,G1-G0 transition,0.0007129198150598893
1883,GABRB1,G2M,0.00020192489654305998
1884,GABRB1,S,0.00035563988337448905
1885,GAL3ST3,G0,0.00027552052358263007
1886,GAL3ST3,G1,0.0005857780528631648
1887,GAL3ST3,G1-G0 transition,0.00052993966189996
1888,GAL3ST3,G2M,0.00016252782665752836
1889,GAL3ST3,S,0.00024378025976520655
1890,GALNT15,G0,0.00031575743393301783
1891,GALNT15,G1,0.0006612554036201543
1892,GALNT15,G1-G0 transition,0.0006647137475288384
1893,GALNT15,G2M,0.00013276644069113819
1894,GALNT15,S,0.00022864694581431442
1895,GALNT4,G0,0.00028306808987253474
1896,GALNT4,G1,0.0006740076063432937
1897,GALNT4,G1-G0 transition,0.0006637751405128502
1898,GALNT4,G2M,0.00016674179194847954
1899,GALNT4,S,0.00031605154349692284
1900,GALNT9,G0,0.0001992021771795489
1901,GALNT9,G1,0.0005305906212097434
1902,GALNT9,G1-G0 transition,0.00048282502887947047
1903,GALNT9,G2M,0.00024848903206584186
1904,GALNT9,S,0.00027718943694930715
1905,GALR1,G0,0.0003353310203126183
1906,GALR1,G1,0.0006097058541640546
1907,GALR1,G1-G0 transition,0.000591772264600742
1908,GALR1,G2M,0.0002443975357806998
1909,GALR1,S,0.00031347261114294086
1910,GALR2,G0,0.00031693669625530203
1911,GALR2,G1,0.0006755218334749028
1912,GALR2,G1-G0 transition,0.0005935932433372556
1913,GALR2,G2M,0.00020941375143349635
1914,GALR2,S,0.00027650996838183715
1915,GAP43,G0,0.00026032618146342037
1916,GAP43,G1,0.0007026496165380961
1917,GAP43,G1-G0 transition,0.0006201386744150355
1918,GAP43,G2M,0.000215241735585701
1919,GAP43,S,0.0002939964177724431
1920,GAS1,G0,0.0005554977415193641
1921,GAS1,G1,0.0006035266012590389
1922,GAS1,G1-G0 transition,0.0007825743492235872
1923,GAS1,G2M,0.00018607502937580228
1924,GAS1,S,0.0002603671817774142
1925,GAS2L3,G0,0.0003712540768030534
1926,GAS2L3,G1,0.0010916996569006363
1927,GAS2L3,G1-G0 transition,0.000701220220248117
1928,GAS2L3,G2M,0.00042432119175269463
1929,GAS2L3,S,0.0006635245762455618
1930,GASK1B,G0,0.00044276727061079907
1931,GASK1B,G1,0.0005633039060966828
1932,GASK1B,G1-G0 transition,0.0007940969437873361
1933,GASK1B,G2M,0.000161712235408948
1934,GASK1B,S,0.0002330002459389693
1935,GAST,G0,0.00023335139287447416
1936,GAST,G1,0.0005929015730524793
1937,GAST,G1-G0 transition,0.0008314190999152093
1938,GAST,G2M,0.00021968834661741977
1939,GAST,S,0.0003443299195763547
1940,GCK,G0,0.0004807947001508578
1941,GCK,G1,0.000786290889301455
1942,GCK,G1-G0 transition,0.0006745646286648801
1943,GCK,G2M,0.00023608368257880313
1944,GCK,S,0.0004099401396679141
1945,GCKR,G0,0.0
1946,GCKR,G1,0.0
1947,GCKR,G1-G0 transition,0.0
1948,GCKR,G2M,0.0
1949,GCKR,S,0.0
1950,GCNT4,G0,0.000291633475966459
1951,GCNT4,G1,0.0006467998649966917
1952,GCNT4,G1-G0 transition,0.0005421649250053341
1953,GCNT4,G2M,0.00017612194097068224
1954,GCNT4,S,0.00034189144629953345
1955,GFAP,G0,0.0003115649778961516
1956,GFAP,G1,0.0006457559101912753
1957,GFAP,G1-G0 transition,0.0005868774217843306
1958,GFAP,G2M,0.0002392890835959768
1959,GFAP,S,0.0003147897010757722
1960,GGN,G0,0.0003021472076223247
1961,GGN,G1,0.0006913054961625574
1962,GGN,G1-G0 transition,0.0005685986823281066
1963,GGN,G2M,0.0001781105518797747
1964,GGN,S,0.00028613616632484163
1965,GHRHR,G0,0.0002797579436095729
1966,GHRHR,G1,0.000592954020893381
1967,GHRHR,G1-G0 transition,0.0006564797138157651
1968,GHRHR,G2M,0.0001753986204987863
1969,GHRHR,S,0.0002917734211053044
1970,GHRL,G0,0.0011064801158144962
1971,GHRL,G1,0.0006931810459979387
1972,GHRL,G1-G0 transition,0.001779671512122085
1973,GHRL,G2M,0.0002028565484937752
1974,GHRL,S,0.0003804935872179612
1975,GINS2,G0,0.008494419071736682
1976,GINS2,G1,0.00168926309717028
1977,GINS2,G1-G0 transition,0.0061740252069602975
1978,GINS2,G2M,0.0006722664471145858
1979,GINS2,S,0.00313682078981962
1980,GIP,G0,0.00038619125918937003
1981,GIP,G1,0.0006630291627607179
1982,GIP,G1-G0 transition,0.0005520587352248239
1983,GIP,G2M,0.0002518927508032566
1984,GIP,S,0.0003231739444318232
1985,GIPR,G0,0.00033583563334790975
1986,GIPR,G1,0.0006264459229297834
1987,GIPR,G1-G0 transition,0.0005715813193467132
1988,GIPR,G2M,0.00015629234056623235
1989,GIPR,S,0.0002909293365121743
1990,GJA3,G0,0.0003425018856928501
1991,GJA3,G1,0.000547148582969854
1992,GJA3,G1-G0 transition,0.0006099353618762312
1993,GJA3,G2M,0.00019827277740737148
1994,GJA3,S,0.0002823007146963409
1995,GLB1L2,G0,0.00032976780676095575
1996,GLB1L2,G1,0.0007374027742731319
1997,GLB1L2,G1-G0 transition,0.0006930147121066269
1998,GLB1L2,G2M,0.0002197696751653045
1999,GLB1L2,S,0.0003791655246993401
2000,GLIS1,G0,0.00031275726123359654
2001,GLIS1,G1,0.0006189549042725545
2002,GLIS1,G1-G0 transition,0.0005662859134289917
2003,GLIS1,G2M,0.00022547953081248687
2004,GLIS1,S,0.0002958426788896274
2005,GLS2,G0,0.0002520601826310728
2006,GLS2,G1,0.0005888403087622364
2007,GLS2,G1-G0 transition,0.000501522373696907
2008,GLS2,G2M,0.0002677828625365707
2009,GLS2,S,0.00024716802267159494
2010,GNG7,G0,0.0001619353782207202
2011,GNG7,G1,0.0007196839951362449
2012,GNG7,G1-G0 transition,0.0006459314600652131
2013,GNG7,G2M,0.0002584128265260958
2014,GNG7,S,0.00032216074851240195
2015,GPBAR1,G0,0.00022748087051774403
2016,GPBAR1,G1,0.0005314330177373526
2017,GPBAR1,G1-G0 transition,0.000809168710909908
2018,GPBAR1,G2M,0.00025234334300556767
2019,GPBAR1,S,0.00017592584029609123
2020,GPR137C,G0,0.00039431127350676856
2021,GPR137C,G1,0.0005262354042683338
2022,GPR137C,G1-G0 transition,0.0005648816994431616
2023,GPR137C,G2M,0.0003405899199166574
2024,GPR137C,S,0.00027351738933304885
2025,GPR146,G0,0.00024869814597659246
2026,GPR146,G1,0.0005499552343464695
