,Feature,Class,AbsoluteSHAPValue
127,AIRE,G1-G0 transition,0.0005911976133919404
128,AIRE,G2M,0.00022567327552402066
129,AIRE,S,0.0003217129752725286
130,AJAP1,G0,0.0001698666808621381
131,AJAP1,G1,0.000536592773777619
132,AJAP1,G1-G0 transition,0.0005979269759525083
133,AJAP1,G2M,0.000320948005103268
134,AJAP1,S,0.0002682551141570186
135,AK7,G0,0.0002052276567320069
136,AK7,G1,0.0005003657406939492
137,AK7,G1-G0 transition,0.0005901960660613183
138,AK7,G2M,0.0002528539369133309
139,AK7,S,0.00025346924561251024
140,AKAP6,G0,0.00033618465665370136
141,AKAP6,G1,0.0004453666510481701
142,AKAP6,G1-G0 transition,0.0006240811737202233
143,AKAP6,G2M,0.00018020641297116397
144,AKAP6,S,0.00040953894514950855
145,AKR1B10,G0,0.0005114021049430216
146,AKR1B10,G1,0.0007695823902877936
147,AKR1B10,G1-G0 transition,0.000617605763371973
148,AKR1B10,G2M,0.00025275632009096174
149,AKR1B10,S,0.0004737867804824851
150,ALDH1A2,G0,0.00019563906565419568
151,ALDH1A2,G1,0.000509431796496621
152,ALDH1A2,G1-G0 transition,0.000516477413092748
153,ALDH1A2,G2M,0.00022169254845021407
154,ALDH1A2,S,0.00029450375549772747
155,ALDH1A3,G0,0.00028639730879562696
156,ALDH1A3,G1,0.0007696555068654077
157,ALDH1A3,G1-G0 transition,0.000653342264407692
158,ALDH1A3,G2M,0.0002779419463477169
159,ALDH1A3,S,0.0003214941670059606
160,ALDH1L1,G0,0.00030570165175470865
161,ALDH1L1,G1,0.0006393291705827064
162,ALDH1L1,G1-G0 transition,0.0005454372175573513
163,ALDH1L1,G2M,0.0002295452546943588
164,ALDH1L1,S,0.0003656792241237064
165,ALDH8A1,G0,0.00023951882895232302
166,ALDH8A1,G1,0.0006838598898514856
167,ALDH8A1,G1-G0 transition,0.0005462846513963851
168,ALDH8A1,G2M,0.00022580958742248307
169,ALDH8A1,S,0.0003304762458047099
170,ALDOB,G0,0.0002913404311792315
171,ALDOB,G1,0.0006139454373694302
172,ALDOB,G1-G0 transition,0.0006221548619892455
173,ALDOB,G2M,0.00017589714598174256
174,ALDOB,S,0.00024390285041881477
175,ALOX15B,G0,0.0002314252745976037
176,ALOX15B,G1,0.0004984382661352188
177,ALOX15B,G1-G0 transition,0.0005883707603969461
178,ALOX15B,G2M,0.00024338789726645948
179,ALOX15B,S,0.00024081613821136613
180,ALOX5AP,G0,0.00019022925044138154
181,ALOX5AP,G1,0.0006879997107770465
182,ALOX5AP,G1-G0 transition,0.00048450247098644515
183,ALOX5AP,G2M,0.00012330298016239056
184,ALOX5AP,S,0.0003381951060457788
185,ALPK3,G0,0.00029073619664543755
186,ALPK3,G1,0.0005243029240783925
187,ALPK3,G1-G0 transition,0.0004824603928193104
188,ALPK3,G2M,0.00018979865286557427
189,ALPK3,S,0.0003070354177470712
190,AMBP,G0,0.0008129929348323936
191,AMBP,G1,0.0011728893206866715
192,AMBP,G1-G0 transition,0.0008968592098976426
193,AMBP,G2M,0.0003259085252251768
194,AMBP,S,0.0003272642786211564
195,AMIGO3,G0,0.0001835742264829834
196,AMIGO3,G1,0.0005481176232831734
197,AMIGO3,G1-G0 transition,0.0007022801669262294
198,AMIGO3,G2M,0.00018751564808911625
199,AMIGO3,S,0.0002645394405600151
200,AMN,G0,0.0003504445870139311
201,AMN,G1,0.0006793824702035256
202,AMN,G1-G0 transition,0.0005406263303464419
203,AMN,G2M,0.00024146198462226198
204,AMN,S,0.00032469829800484
205,AMPD3,G0,0.00032872480769443024
206,AMPD3,G1,0.000581692188260018
207,AMPD3,G1-G0 transition,0.000759501652661376
208,AMPD3,G2M,0.0001897851874399017
209,AMPD3,S,0.00024104220150863512
210,ANGPTL3,G0,0.0002084716126209249
211,ANGPTL3,G1,0.0005213760040329465
212,ANGPTL3,G1-G0 transition,0.0006062083588011792
213,ANGPTL3,G2M,0.00029978720419780524
214,ANGPTL3,S,0.00035666839069662136
215,ANGPTL8,G0,0.00021225287395059526
216,ANGPTL8,G1,0.0005976931505042825
217,ANGPTL8,G1-G0 transition,0.0006657698578010256
218,ANGPTL8,G2M,0.00021077953634812037
219,ANGPTL8,S,0.0002800528381084842
220,ANKLE1,G0,0.0002682651754762246
221,ANKLE1,G1,0.000741324241160192
222,ANKLE1,G1-G0 transition,0.0005388616570133083
223,ANKLE1,G2M,0.00024256348364734136
224,ANKLE1,S,0.00038471251625607814
225,ANKRD1,G0,0.0011301325456878697
226,ANKRD1,G1,0.001690905160364649
227,ANKRD1,G1-G0 transition,0.0010866184382432734
228,ANKRD1,G2M,0.0006411684320270498
229,ANKRD1,S,0.0009424749377613475
230,ANKRD31,G0,0.000276847774072744
231,ANKRD31,G1,0.0005634780663983947
232,ANKRD31,G1-G0 transition,0.0006620859098507845
233,ANKRD31,G2M,0.0001910980699109014
234,ANKRD31,S,0.00027044935993711925
235,ANKRD33,G0,0.0
236,ANKRD33,G1,0.0
237,ANKRD33,G1-G0 transition,0.0
238,ANKRD33,G2M,0.0
239,ANKRD33,S,0.0
240,ANKRD6,G0,0.00022939087273192267
241,ANKRD6,G1,0.000635552304561907
242,ANKRD6,G1-G0 transition,0.000601901198739118
243,ANKRD6,G2M,0.0001334831955066081
244,ANKRD6,S,0.00029997614741277565
245,ANXA9,G0,0.00019454631042389517
246,ANXA9,G1,0.0005368972668334749
247,ANXA9,G1-G0 transition,0.0005087346912907149
248,ANXA9,G2M,0.000250560886254032
249,ANXA9,S,0.0002736024591591768
250,AOC3,G0,0.00021708338655651628
251,AOC3,G1,0.0005315741145378123
252,AOC3,G1-G0 transition,0.0006726670271516719
253,AOC3,G2M,0.00023853217683390536
254,AOC3,S,0.0003265934175713306
255,AP3B2,G0,0.0002506443997888921
