cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
SRR11286370,0.53098555768749,-0.7894498794960356,0.3079335082544411,U2OS,G2M,20.346400000000006
SRR11286371,0.48164851605441344,-0.7106397695682131,0.5128408096070708,U2OS,G2M,25.204103
SRR11286372,0.36232144704166913,-0.15383954450344323,0.9192695399058589,U2OS,G2M,22.762535
SRR11286374,-0.8534680442332643,-0.24924734861803294,0.457676764423191,U2OS,G1,1.093619
SRR11286375,0.6725777014458699,-0.3741424604327674,0.638479811768922,U2OS,S,14.75114
SRR11286377,0.502396280872068,-0.4450165555703217,0.7413217813614861,U2OS,G2M,22.253875
SRR11286378,0.20016617461239078,0.9750817585636266,-0.09564978247787555,U2OS,G1,4.0947130000000005
SRR11286379,0.44040154361105677,-0.7757726319587542,0.45191058861219624,U2OS,G2M,21.36372
SRR11286380,-0.6419775133686603,-0.6289423498339151,0.4385162253443234,U2OS,G1,0.152598
SRR11286381,0.6442869928072584,-0.4979357654585423,0.5804775371463301,U2OS,G2M,24.034185
SRR11286383,0.6689023933278263,0.11200656316681991,0.7348633461422964,U2OS,S,12.284139
SRR11286384,0.24603782319637016,0.7563191807560008,0.6061736869054438,U2OS,G1,5.315497
SRR11286385,0.6820179400161815,0.21312955324711375,0.699590834549789,U2OS,S,11.622881
SRR11286386,-0.2286077775882458,-0.8567090887038099,0.4623721374230592,U2OS,G2M,16.709481
SRR11286387,0.455352202817845,-0.27399715343653186,0.8471008539321654,U2OS,S,15.285232999999998
SRR11286388,0.07533376847489925,-0.9385066064723566,0.3369422117598432,U2OS,S,15.76846
SRR11286389,-0.28544352898602876,-0.8457449608771849,0.4508186879284434,U2OS,G2M,19.83774
SRR11286390,-0.25552175972113944,0.5108067321937626,-0.820844217647272,U2OS,G1-G0 transition,3.713218
SRR11286391,0.2881949819682833,0.5144959971195174,0.8076122665355461,U2OS,S,9.893437
SRR11286392,-0.10382401089297555,-0.8357426966340429,0.5392167127053311,U2OS,G2M,21.007658
SRR11286393,-0.27163186077629564,-0.7661651381328058,0.5824149030807774,U2OS,G2M,16.887512
SRR11286394,0.39899456658158994,0.32094559151599067,0.858951219426239,U2OS,S,12.258706
SRR11286396,0.8366632582724514,0.36592193711352927,0.4075480686388269,U2OS,S,9.054148
SRR11286397,0.5302274916203539,-0.5960540470312676,0.6029744897159595,U2OS,G2M,24.746309
SRR11286398,0.539118463425552,0.37326002927554597,0.7550020917860476,U2OS,S,10.529262
SRR11286399,-0.14240123814689476,-0.9301714668207732,0.3383830591703757,U2OS,G2M,18.794987
SRR11286401,0.7151243140365426,0.6438989514597622,0.272013577913064,U2OS,S,8.621787000000001
SRR11286402,0.7748585007718265,-0.3073031381480704,0.5524120926108225,U2OS,S,15.208934
SRR11286403,-0.6785715982228913,-0.3494977516966855,0.6460586096168874,U2OS,G1,1.322516
SRR11286404,-0.2757051228109285,-0.694034812798683,0.665058105024246,U2OS,G2M,25.305835
SRR11286405,0.15776284280494177,-0.9289557473745162,0.33489106031130755,U2OS,G2M,22.457339
SRR11286406,-0.4341087472167782,0.22103053429646688,0.8733241468036996,U2OS,G1,6.8160440000000015
SRR11286407,0.6927755550014731,-0.5968034572202486,0.40483037044402576,U2OS,S,13.886418
SRR11286408,-0.18400698943786425,-0.9001175737253718,0.3948792267379946,U2OS,G2M,18.947585
SRR11286411,0.6407126780410506,0.2174390729126832,0.7363473449600778,U2OS,S,10.605561
SRR11286412,0.7131006187560875,-0.20292564933288398,0.6710504155811666,U2OS,G2M,23.14403
SRR11286413,0.7355624906598173,0.24639154570847982,0.6310616772243003,U2OS,S,10.910757
SRR11286414,-0.13148192030478983,-0.8078914285335622,0.5744770129160526,U2OS,G2M,20.651596
SRR11286416,-0.2237398607538792,-0.9412312019807083,0.2530299950710133,U2OS,G2M,21.261988
SRR11286417,0.03567836387151779,-0.14789617086110857,-0.9883590834261656,U2OS,G1-G0 transition,2.212671
SRR11286419,-0.6792045750673136,-0.4515328506384192,0.5786185498484104,U2OS,G1,0.152598
SRR11286420,-0.07553363883302827,-0.9160844186415393,0.39380693204846173,U2OS,G2M,18.286327
SRR11286422,0.8752137917425908,-0.10080674488783503,0.47311619324728627,U2OS,S,12.360438
SRR11286423,-0.2664218462260469,0.865791094133153,0.42358624760881397,U2OS,G1,7.1466730000000025
SRR11286424,0.4415879730731363,0.8780418059220858,0.18450707882822356,U2OS,G1,7.273838
SRR11286425,-0.7344514951995413,-0.06933678636965288,0.6751099459468637,U2OS,G1,1.424248
SRR11286426,0.4544917101449198,0.46687996423199585,0.7585910497504886,U2OS,S,11.546582
SRR11286427,-0.5752501147922687,-0.6539498885647462,0.4913623603074403,U2OS,G1,1.7294440000000002
SRR11286428,-0.14825003046805288,0.5024402310462768,0.8518073628163786,U2OS,G1,5.213765
SRR11286429,0.739955798351652,0.43947856067657015,0.5092386695962511,U2OS,S,10.554695
SRR11286430,0.500610522756696,-0.494758092913713,0.7103543711569403,U2OS,G2M,22.431906
SRR11286431,0.6437148026261583,-0.4971861031383292,0.5817535522103892,U2OS,S,11.826345
SRR11286432,-0.19079882268584836,-0.956247978816637,0.22177812334723088,U2OS,G2M,21.236555
SRR11286433,-0.7788092208881804,-0.42689499646378404,0.45958320239372624,U2OS,G1,1.7548770000000002
SRR11286434,0.4707023268520795,-0.2892400393380358,0.8335343935680434,U2OS,G2M,22.63537
SRR11286435,-0.380683289426032,-0.8166383238262042,0.4337995188396817,U2OS,S,15.743027
SRR11286436,-0.029351330416519716,-0.9647243304306924,0.26162074121692,U2OS,G2M,22.533638
SRR11286437,0.4023606502279105,-0.498141673885367,0.7680889852193948,U2OS,G2M,23.271195
SRR11286438,-0.2348277914049385,-0.9624159284582285,0.13642341831499044,U2OS,G2M,23.016865
SRR11286441,0.08711767352354548,0.7405419628126285,0.6663393422225852,U2OS,S,9.486509
SRR11286442,0.0852112012882259,-0.9373889746575976,0.3376995688340541,U2OS,G2M,20.727895
SRR11286443,0.7658951025643691,0.28387609323871743,0.5769047045313396,U2OS,S,11.165087
SRR11286444,0.2310028609123505,0.3682104206678264,0.9005880674794038,U2OS,S,10.402097
SRR11286445,0.5725609915555848,-0.7095817529724654,0.41069165920673073,U2OS,G2M,18.515224
SRR11286446,-0.320479828755184,0.7054958109264746,0.6321141087493054,U2OS,G1,5.747858
SRR11286447,0.36636282019399263,-0.8489263804292289,0.38092297455076746,U2OS,G2M,24.008752
